Time,North Cars,South Cars,East Cars,West Cars,North Light,South Light,East Light,West Light,North Action,South Action,East Action,West Action
01:16:31,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:16:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:29,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:30,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:31,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:32,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:33,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:35,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:36,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:37,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:38,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:39,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:40,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:41,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:42,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:44,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:45,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:46,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:47,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:47,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:49,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:50,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:51,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:52,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:53,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:54,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:55,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:56,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:57,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:51:58,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:00,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
01:52:01,0,0,0,0,Red,Red,Red,Red,Green,Green,Red,Red
