tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
49.00;-488452627#2_0;0.20;6.46;12.00;0.00;489221514#0_0;5.10;0.00;tripinfo_12;37.00;12;0;463.03;1.05;0.00;11.22;DEFAULT_VEHTYPE;;0;0.00
81.00;374433111#6_0;21.17;10.08;14.00;0.00;488440847_0;5.10;0.00;tripinfo_14;67.00;14;0;382.00;0.99;0.00;38.70;DEFAULT_VEHTYPE;;1;20.00
85.00;379359177#2_0;138.37;20.04;27.00;0.00;488232982#1_0;5.10;0.00;tripinfo_27;58.00;27;0;815.10;0.95;0.00;20.59;DEFAULT_VEHTYPE;;0;0.00
95.00;-488440840#3_0;20.43;11.53;23.00;0.00;-374433106#1_0;0.20;0.00;tripinfo_23;72.00;23;0;571.09;0.89;0.00;38.13;DEFAULT_VEHTYPE;;1;22.00
95.00;488232997#1_0;31.77;12.70;33.00;2.00;1330843193#5_0;5.10;0.00;tripinfo_31;62.00;31;0;584.41;1.15;0.00;32.40;DEFAULT_VEHTYPE;;1;4.00
96.00;-488432659#0_0;24.72;12.29;1.00;0.00;-488432669#1_0;5.10;0.00;tripinfo_1;95.00;1;0;196.77;0.94;0.00;78.99;DEFAULT_VEHTYPE;;2;64.00
98.00;1245516597_0;30.40;10.26;5.00;0.00;-488429013#2_0;0.20;0.00;tripinfo_5;93.00;5;0;996.83;0.83;0.00;28.72;DEFAULT_VEHTYPE;;1;6.00
102.00;-488439373#1_0;38.93;13.40;34.00;0.00;-488440845#3_0;5.10;0.00;tripinfo_34;68.00;34;0;404.60;0.99;0.00;35.25;DEFAULT_VEHTYPE;;1;16.00
106.00;-488238449#0_0;113.22;12.27;56.00;0.00;1195571202#1_0;5.10;0.00;tripinfo_56;50.00;56;0;419.77;0.90;0.00;15.49;DEFAULT_VEHTYPE;;0;0.00
112.00;-488451885#5_0;48.01;12.29;36.00;0.00;488451885#1_0;0.20;0.00;tripinfo_36;76.00;36;0;219.22;0.97;0.00;57.81;DEFAULT_VEHTYPE;;1;46.00
124.00;-1106761240#1_0;65.78;11.53;9.00;0.00;488439367#0_0;5.10;0.00;tripinfo_9;115.00;9;0;631.45;0.86;0.00;60.28;DEFAULT_VEHTYPE;;1;44.00
129.00;1195562864#2_0;61.70;14.90;38.00;0.00;488453907#2_0;0.20;0.00;tripinfo_38;91.00;38;0;572.59;1.10;0.00;57.31;DEFAULT_VEHTYPE;;2;38.00
130.00;488429008#1_0;69.21;15.56;28.00;0.00;-488232998#1_0;5.10;0.00;tripinfo_28;102.00;28;0;1414.59;1.13;0.00;34.30;DEFAULT_VEHTYPE;;0;0.00
135.00;-1195548637_0;44.04;14.40;0.00;0.00;431659327#1_0;5.10;0.00;tripinfo_0;135.00;0;0;846.30;1.06;0.00;76.54;DEFAULT_VEHTYPE;;1;53.00
142.00;1132773660#0_0;97.76;13.91;94.00;0.00;-488235612#2_0;5.10;0.00;tripinfo_94;48.00;94;0;643.61;1.09;0.00;15.50;DEFAULT_VEHTYPE;;0;0.00
149.00;193847185#4_0;152.14;20.79;17.00;0.00;-488453907#4_0;5.10;0.00;tripinfo_17;132.00;17;0;1030.86;0.94;0.00;66.12;DEFAULT_VEHTYPE;;2;33.00
151.00;-374433111#1_0;61.82;23.03;3.00;0.00;488451889#1_0;5.10;0.00;tripinfo_3;148.00;3;0;1399.52;1.08;0.00;74.80;DEFAULT_VEHTYPE;;1;51.00
152.00;-488232987#6_0;0.20;2.47;151.00;0.00;-488232987#6_0;0.20;0.00;tripinfo_151;1.00;151;0;0.00;1.00;0.00;0.82;DEFAULT_VEHTYPE;;0;0.00
153.00;1330843193#5_0;87.43;21.61;51.00;0.00;488232987#4_0;5.10;0.00;tripinfo_51;102.00;51;0;300.84;1.17;0.00;86.75;DEFAULT_VEHTYPE;;2;61.00
164.00;374433108#1_0;1.99;8.92;78.00;0.00;-488451884_0;5.10;0.00;tripinfo_78;86.00;78;0;1026.97;1.01;0.00;32.76;DEFAULT_VEHTYPE;;1;1.00
165.00;-374433111#5_0;0.20;19.63;142.00;0.00;488440845#4_0;5.10;0.00;tripinfo_142;23.00;142;0;186.62;0.94;0.00;8.69;DEFAULT_VEHTYPE;;0;0.00
169.00;488432660#13_0;3.43;3.98;32.00;0.00;488440845#0_0;5.10;0.00;tripinfo_32;137.00;32;0;2148.58;1.01;0.00;32.57;DEFAULT_VEHTYPE;;0;0.00
179.00;431659327#0_0;44.85;13.54;118.00;0.00;374433101#8_0;5.10;0.00;tripinfo_118;61.00;118;0;937.71;0.99;0.00;17.03;DEFAULT_VEHTYPE;;0;0.00
180.00;193847184#4_0;54.21;18.23;7.00;0.00;488232982#3_0;5.10;0.00;tripinfo_7;173.00;7;0;2564.20;0.89;0.00;40.74;DEFAULT_VEHTYPE;;0;0.00
181.00;488451881#0_0;108.55;11.80;97.00;0.00;-716996248_0;5.10;0.00;tripinfo_97;84.00;97;0;266.93;0.91;0.00;60.63;DEFAULT_VEHTYPE;;1;52.00
186.00;-1195565779#1_0;33.99;14.00;4.00;0.00;-489221515#0_0;5.10;0.00;tripinfo_4;182.00;4;0;849.66;1.03;0.00;123.20;DEFAULT_VEHTYPE;;3;87.00
187.00;488229186#7_0;39.79;14.26;45.00;0.00;-374433111#4_0;5.10;0.00;tripinfo_45;142.00;45;0;1280.27;1.09;0.00;92.34;DEFAULT_VEHTYPE;;1;54.00
189.00;374433108#10_0;2831.16;24.84;8.00;0.00;-488429014#0_0;5.10;0.00;tripinfo_8;181.00;8;0;3885.72;0.94;0.00;22.34;DEFAULT_VEHTYPE;;0;0.00
191.00;-489205463#1_0;19.11;8.74;24.00;0.00;379359178#3_0;5.10;0.00;tripinfo_24;167.00;24;0;1431.87;0.83;0.00;69.22;DEFAULT_VEHTYPE;;2;33.00
191.00;488429008#2_0;22.48;14.20;73.00;0.00;1247582300#2_0;5.10;0.00;tripinfo_73;118.00;73;0;1019.46;1.06;0.00;63.41;DEFAULT_VEHTYPE;;1;38.00
193.00;488451880#7_0;0.41;4.96;49.00;0.00;489222064_0;5.10;0.00;tripinfo_49;144.00;49;0;1384.47;0.85;0.00;51.44;DEFAULT_VEHTYPE;;2;22.00
194.00;488429008#2_0;22.48;11.73;15.00;0.00;488439366#0_0;5.10;0.00;tripinfo_15;179.00;15;0;629.46;0.93;0.00;128.83;DEFAULT_VEHTYPE;;4;95.00
195.00;488451885#5_0;48.01;13.84;57.00;0.00;488453906#9_0;5.10;0.00;tripinfo_57;138.00;57;0;501.23;1.14;0.00;104.38;DEFAULT_VEHTYPE;;3;76.00
196.00;-489222059#0_0;76.66;15.86;37.00;0.00;488232983#5_0;1.34;0.00;tripinfo_37;159.00;37;0;2472.84;1.18;0.00;57.84;DEFAULT_VEHTYPE;;0;0.00
