Timestamp,Total_Cars,Grid_Density
Fri Apr  3 19:39:49 2026,8,8.0
Fri Apr  3 19:39:49 2026,16,8.0
Fri Apr  3 19:39:49 2026,24,8.0
Fri Apr  3 19:39:49 2026,32,8.0
Fri Apr  3 19:39:49 2026,40,8.0
Fri Apr  3 19:39:49 2026,49,9.0
Fri Apr  3 19:39:49 2026,59,10.0
Fri Apr  3 19:39:49 2026,69,10.0
Fri Apr  3 19:39:50 2026,79,10.0
Fri Apr  3 19:39:50 2026,89,10.0
Fri Apr  3 19:39:50 2026,99,10.0
Fri Apr  3 19:39:50 2026,107,8.0
Fri Apr  3 19:39:50 2026,116,9.0
Fri Apr  3 19:39:50 2026,125,9.0
Fri Apr  3 19:39:50 2026,135,10.0
Fri Apr  3 19:39:50 2026,146,11.0
Fri Apr  3 19:39:50 2026,157,11.0
Fri Apr  3 19:39:50 2026,165,8.0
Fri Apr  3 19:39:50 2026,174,9.0
Fri Apr  3 19:39:50 2026,184,10.0
Fri Apr  3 19:39:50 2026,192,8.0
Fri Apr  3 19:39:51 2026,200,8.0
Fri Apr  3 19:39:51 2026,208,8.0
Fri Apr  3 19:39:51 2026,217,9.0
Fri Apr  3 19:39:51 2026,226,9.0
Fri Apr  3 19:39:51 2026,234,8.0
Fri Apr  3 19:39:51 2026,242,8.0
Fri Apr  3 19:39:51 2026,250,8.0
Fri Apr  3 19:39:51 2026,258,8.0
Fri Apr  3 19:39:51 2026,267,9.0
Fri Apr  3 19:39:51 2026,274,7.0
Fri Apr  3 19:39:51 2026,280,6.0
Fri Apr  3 19:39:51 2026,286,6.0
Fri Apr  3 19:39:51 2026,293,7.0
Fri Apr  3 19:39:51 2026,300,7.0
Fri Apr  3 19:39:52 2026,306,6.0
Fri Apr  3 19:39:52 2026,315,9.0
Fri Apr  3 19:39:52 2026,324,9.0
Fri Apr  3 19:39:52 2026,332,8.0
Fri Apr  3 19:39:52 2026,341,9.0
Fri Apr  3 19:39:52 2026,350,9.0
Fri Apr  3 19:39:52 2026,359,9.0
Fri Apr  3 19:39:52 2026,368,9.0
Fri Apr  3 19:39:52 2026,377,9.0
Fri Apr  3 19:39:52 2026,386,9.0
Fri Apr  3 19:39:52 2026,395,9.0
Fri Apr  3 19:39:52 2026,404,9.0
Fri Apr  3 19:39:52 2026,413,9.0
Fri Apr  3 19:39:53 2026,422,9.0
Fri Apr  3 19:39:53 2026,431,9.0
Fri Apr  3 19:39:53 2026,440,9.0
Fri Apr  3 19:39:53 2026,448,8.0
Fri Apr  3 19:39:53 2026,456,8.0
Fri Apr  3 19:39:53 2026,463,7.0
Fri Apr  3 19:39:53 2026,470,7.0
Fri Apr  3 19:39:53 2026,477,7.0
Fri Apr  3 19:39:53 2026,484,7.0
Fri Apr  3 19:39:53 2026,491,7.0
Fri Apr  3 19:39:53 2026,498,7.0
Fri Apr  3 19:39:53 2026,504,6.0
Fri Apr  3 19:39:53 2026,511,7.0
Fri Apr  3 19:39:53 2026,519,8.0
Fri Apr  3 19:39:54 2026,527,8.0
Fri Apr  3 19:39:54 2026,535,8.0
Fri Apr  3 19:39:54 2026,543,8.0
Fri Apr  3 19:39:54 2026,550,7.0
Fri Apr  3 19:39:54 2026,557,7.0
Fri Apr  3 19:39:54 2026,567,10.0
Fri Apr  3 19:39:54 2026,576,9.0
Fri Apr  3 19:39:54 2026,586,10.0
Fri Apr  3 19:39:54 2026,595,9.0
Fri Apr  3 19:39:54 2026,605,10.0
Fri Apr  3 19:39:54 2026,614,9.0
Fri Apr  3 19:39:54 2026,623,9.0
Fri Apr  3 19:39:54 2026,632,9.0
Fri Apr  3 19:39:54 2026,641,9.0
Fri Apr  3 19:39:55 2026,650,9.0
Fri Apr  3 19:39:55 2026,659,9.0
Fri Apr  3 19:39:55 2026,668,9.0
Fri Apr  3 19:39:55 2026,677,9.0
Fri Apr  3 19:39:55 2026,686,9.0
Fri Apr  3 19:39:55 2026,695,9.0
Fri Apr  3 19:39:55 2026,704,9.0
Fri Apr  3 19:39:55 2026,713,9.0
Fri Apr  3 19:39:55 2026,722,9.0
Fri Apr  3 19:39:55 2026,731,9.0
Fri Apr  3 19:39:55 2026,740,9.0
Fri Apr  3 19:39:55 2026,749,9.0
Fri Apr  3 19:39:55 2026,758,9.0
Fri Apr  3 19:39:55 2026,767,9.0
Fri Apr  3 19:39:56 2026,776,9.0
Fri Apr  3 19:39:56 2026,785,9.0
Fri Apr  3 19:39:56 2026,794,9.0
Fri Apr  3 19:39:56 2026,802,8.0
Fri Apr  3 19:39:56 2026,810,8.0
Fri Apr  3 19:39:56 2026,819,9.0
Fri Apr  3 19:39:56 2026,827,8.0
Fri Apr  3 19:39:56 2026,837,10.0
Fri Apr  3 19:39:56 2026,846,9.0
Fri Apr  3 19:39:56 2026,855,9.0
Fri Apr  3 19:39:56 2026,865,10.0
Fri Apr  3 19:39:56 2026,875,10.0
Fri Apr  3 19:39:56 2026,885,10.0
Fri Apr  3 19:39:57 2026,895,10.0
Fri Apr  3 19:39:57 2026,904,9.0
Fri Apr  3 19:39:57 2026,913,9.0
Fri Apr  3 19:39:57 2026,920,7.0
Fri Apr  3 19:39:57 2026,927,7.0
Fri Apr  3 19:39:57 2026,935,8.0
Fri Apr  3 19:39:57 2026,942,7.0
Fri Apr  3 19:39:57 2026,950,8.0
Fri Apr  3 19:39:57 2026,958,8.0
Fri Apr  3 19:39:57 2026,966,8.0
Fri Apr  3 19:39:57 2026,974,8.0
Fri Apr  3 19:39:57 2026,982,8.0
Fri Apr  3 19:39:57 2026,990,8.0
